id,name,description,unit,price_per_unit,category,image_url,created_at,barcode,homedepot_url,homedepot_sku
10,Electrical Wire 12/2 NM-B,Non-metallic sheathed cable for residential wiring.,coil (250ft),92.00,Electrical,,2026-03-12 01:19:31.359623,012345678901,,
11,"Electrical Conduit 1""",EMT electrical metallic tubing for wire protection.,stick (10ft),12.50,Electrical,,2026-03-12 01:19:31.363991,012345678902,,
12,"PVC Pipe 4""",Schedule 40 PVC pipe for drainage and sewer lines.,stick (10ft),18.00,Plumbing,,2026-03-12 01:19:31.367744,012345678903,https://www.homedepot.com/p/4-in-x-10-ft-Rigid-PVC-SDR35-Gravity-Sewer-Pipe-White-Belled-End-30593/206870828,206870828
13,"Copper Pipe 3/4""",Type L copper pipe for water supply lines.,stick (10ft),24.00,Plumbing,,2026-03-12 01:19:31.371227,012345678904,https://www.homedepot.com/p/Cerro-3-4-in-x-10-ft-Copper-Type-M-Hard-Temper-Straight-Pipe-3-4-M-10/100354200,100354200
19,Solar Panel 400W Monocrystalline,High-efficiency monocrystalline silicon solar panel for commercial and residential installations.,panel,320.00,Solar,,2026-03-12 01:31:43.661656,012345678905,,
20,Solar Panel 550W Bifacial,Bifacial solar panel that captures light from both sides for increased energy yield.,panel,440.00,Solar,,2026-03-12 01:31:43.706261,012345678906,,
21,Solar Rail Kit (Mounting),Aluminum roof-mount racking system for attaching solar panels to pitched roofs.,kit (10 panels),185.00,Solar,,2026-03-12 01:31:43.709884,012345678907,,
24,MC4 Connector Pair (Solar),Weatherproof connectors for linking solar panels together in series or parallel.,pair,6.50,Solar,,2026-03-12 01:31:43.723166,012345678908,,
25,Solar Cable 10AWG (per ft),UV-resistant PV wire rated for outdoor solar installations.,foot,1.20,Solar,,2026-03-12 01:31:43.727433,012345678909,,
26,Ground Lug Kit (Solar),Equipment grounding connectors for bonding solar array frames to ground.,kit (50 pcs),48.00,Solar,,2026-03-12 01:31:43.731167,012345678910,,
27,"Framing Nails 3.5"" (16d)",Hot-dipped galvanized framing nails for structural wood framing.,box (1lb),12.00,Screws & Nails,,2026-03-12 01:35:17.287542,012345678911,,
28,"Roofing Nails 1.75""",Galvanized coil nails for asphalt shingles and roofing applications.,box (1lb),9.50,Screws & Nails,,2026-03-12 01:35:17.292686,012345678912,,
29,"Deck Screws #10 x 3""",Coated exterior wood screws with self-drilling tip for decking.,box (1lb),14.00,Screws & Nails,,2026-03-12 01:35:17.296478,012345678913,,
30,"Drywall Screws 1-5/8""",Bugle-head coarse thread screws for attaching drywall to wood studs.,box (1lb),8.00,Screws & Nails,,2026-03-12 01:35:17.301076,012345678914,,
